,id,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,2cX2coZS1PYBfPs8wgbdWE,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,2020-11-20,196213,67,0.601,0.175,0.601,0.703,8.4e-05,0.571,-6.24,0.0379,106.164,4
1,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,85,0.828,0.0644,0.828,0.492,0.00428,0.128,-9.744,0.0276,120.151,4
2,1tzcIjBCwsn4P7D0OsBiFi,The Lucky One,Thirteen Rules,Viernes 13,2015-01-13,267626,16,0.356,0.049,0.356,0.724,3.68e-05,0.271,-5.706,0.0378,163.452,4
3,1y4jsQt7MjnZhiD1L6qFBC,Cradles,Cradles,Sub Urban,2019-01-04,209829,74,0.534,0.256,0.534,0.589,6.02e-05,0.176,-1.865,0.325,78.616,4
4,34xLCJSfCdBPcPxZTRezwS,Dancing Is What to Do,Dancing Is What to Do,Ray-X,2019-05-21,257071,52,0.882,0.209,0.882,0.741,0.0,0.0871,-6.504,0.0383,119.995,4
5,5sbooPcNgIE22DwO0VNGUJ,POP/STARS,POP/STARS,K/DA,2018-11-03,191100,74,0.566,0.0183,0.566,0.769,0.0,0.108,-4.342,0.0872,170.036,4
6,2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,Whatever,Hot Chelle Rae,2011-11-25,200466,73,0.686,0.0764,0.686,0.783,0.0,0.163,-4.977,0.119,99.978,4
7,4pIKFpwflOdhYNIRmPTj3E,Dance Macabre,Prequelle,Ghost,2018-06-01,219720,58,0.619,1.89e-05,0.619,0.696,0.00555,0.38,-6.269,0.0315,125.986,4
8,4xvB0wcMmNn7lcw1boRoA0,Where Will I Go,"Chasing The Golden Hour, Pt. 3",GRiZ,2020-09-17,196626,36,0.399,0.000111,0.399,0.875,0.772,0.0985,-6.109,0.0398,165.95,4
9,48vRKDOBxyVChwHAjU0SOf,The Best Day,"To All My Friends, Blood Makes The Blade Holy: The Atmosphere EP's",Atmosphere,2010-09-07,216893,53,0.882,0.358,0.882,0.624,0.0,0.0678,-5.372,0.0682,96.896,4
10,1L6ToRXIbr94VkOux95ftx,Doo Doo Doo,Doo Doo Doo,Cherub,2020-06-26,186425,20,0.544,0.0736,0.544,0.835,0.0,0.142,-4.446,0.0526,178.129,4
11,6PT1dLDHk9BaVwFG74pomG,Mercury in Retrograde,SOUND & FURY,Sturgill Simpson,2019-09-27,271588,50,0.713,0.0141,0.713,0.74,0.000429,0.717,-5.281,0.0384,125.028,4
12,57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,The Game (Deluxe Remastered Version),Queen,1980-06-27,214653,71,0.933,0.112,0.933,0.528,0.329,0.163,-6.472,0.162,109.975,4
13,6eN1f9KNmiWEhpE2RhQqB5,Paradise City,Appetite For Destruction,Guns N' Roses,1987-07-21,405600,70,0.268,0.0192,0.268,0.98,0.00709,0.182,-5.958,0.103,100.315,4
14,1RIYF8NDIIWBvJe4vhQr6y,Good to Be Bad,Descendants 3 (Original TV Movie Soundtrack),Various Artists,2019-08-02,189868,58,0.843,0.106,0.843,0.893,0.0,0.32,-5.653,0.126,116.302,4
15,2jWuNKBlgkfb3M0WDKexY8,The Sinister Minister,Bela Fleck and the Flecktones,Béla Fleck and the Flecktones,1990,276986,42,0.77,0.192,0.77,0.588,0.803,0.0576,-9.844,0.0437,127.231,4
16,1BWsQm7kOBjK2aSFYg5HQZ,Shofukan,We Like It Here,Snarky Puppy,2014-02-25,393053,49,0.426,0.0642,0.426,0.754,0.765,0.701,-9.125,0.074,167.42,4
17,1DrlLvlYd1FIjNavRm6NdX,Back Pocket,Thrill of the Arts,Vulfpeck,2015-10-09,181259,61,0.839,0.478,0.839,0.585,0.00281,0.0435,-7.738,0.153,89.821,4
18,3Ti0GdlrotgwsAVBBugv0I,Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,1990-04-17,251573,69,0.848,0.173,0.848,0.666,0.000699,0.129,-6.547,0.274,96.662,4
19,4V3N5LvUOh3yDPP16cwAhE,Aquemini,Aquemini,Outkast,1998-09-29,319240,56,0.707,0.245,0.707,0.661,0.0,0.176,-5.711,0.39,89.197,4
20,5uRyMY1BpYJsoBHnPXdUWI,Happy Hour Hero,tin cans & car tires,moe.,1998-09-08,300440,39,0.48,0.353,0.48,0.785,0.00085,0.166,-7.528,0.0423,146.663,4
21,5uvwSoF1PlEKpbMFXOCMwV,In the Kitchen,Anchor Drops,Umphrey's McGee,2004-06-29,239453,41,0.688,0.203,0.688,0.698,0.000265,0.124,-7.299,0.0376,112.145,4
