,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,11/20/2020,196213,67,0.601,0.175,0.601,0.703,8.40E-05,0.571,-6.24,0.0379,106.164,4
1,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,2/4/1977,257800,86,0.828,0.0644,0.828,0.492,0.00428,0.128,-9.744,0.0276,120.151,4
2,The Lucky One,Thirteen Rules,Viernes 13,1/13/2015,267626,17,0.356,0.049,0.356,0.724,3.68E-05,0.271,-5.706,0.0378,163.452,4
3,Cradles,Cradles,Sub Urban,1/4/2019,209829,75,0.534,0.256,0.534,0.589,6.02E-05,0.176,-1.865,0.325,78.616,4
4,Dancing Is What to Do,Dancing Is What to Do,Ray-X,5/21/2019,257071,52,0.882,0.209,0.882,0.741,0,0.0871,-6.504,0.0383,119.995,4
5,POP/STARS,POP/STARS,K/DA,11/3/2018,191100,75,0.566,0.0183,0.566,0.769,0,0.108,-4.342,0.0872,170.036,4
6,Tonight Tonight,Whatever,Hot Chelle Rae,11/25/2011,200466,74,0.686,0.0764,0.686,0.783,0,0.163,-4.977,0.119,99.978,4
7,Dance Macabre,Prequelle,Ghost,6/1/2018,219720,59,0.619,1.89E-05,0.619,0.696,0.00555,0.38,-6.269,0.0315,125.986,4
8,Where Will I Go,"Chasing The Golden Hour, Pt. 3",GRiZ,9/17/2020,196626,37,0.399,0.000111,0.399,0.875,0.772,0.0985,-6.109,0.0398,165.95,4
9,The Best Day,"To All My Friends, Blood Makes The Blade Holy: The Atmosphere EP's",Atmosphere,9/7/2010,216893,53,0.882,0.358,0.882,0.624,0,0.0678,-5.372,0.0682,96.896,4
10,Doo Doo Doo,Doo Doo Doo,Cherub,6/26/2020,186425,21,0.544,0.0736,0.544,0.835,0,0.142,-4.446,0.0526,178.129,4
11,Mercury in Retrograde,SOUND & FURY,Sturgill Simpson,9/27/2019,271588,51,0.713,0.0141,0.713,0.74,0.000429,0.717,-5.281,0.0384,125.028,4
12,Another One Bites The Dust - Remastered 2011,The Game (Deluxe Remastered Version),Queen,6/27/1980,214653,72,0.933,0.112,0.933,0.528,0.329,0.163,-6.472,0.162,109.975,4
13,Paradise City,Appetite For Destruction,Guns N' Roses,7/21/1987,405600,71,0.268,0.0192,0.268,0.98,0.00709,0.182,-5.958,0.103,100.315,4
14,Good to Be Bad,Descendants 3 (Original TV Movie Soundtrack),Various Artists,8/2/2019,189868,59,0.843,0.106,0.843,0.893,0,0.32,-5.653,0.126,116.302,4
15,The Sinister Minister,Bela Fleck and the Flecktones,Béla Fleck and the Flecktones,1990,276986,43,0.77,0.192,0.77,0.588,0.803,0.0576,-9.844,0.0437,127.231,4
16,Shofukan,We Like It Here,Snarky Puppy,2/25/2014,393053,49,0.426,0.0642,0.426,0.754,0.765,0.701,-9.125,0.074,167.42,4
17,Back Pocket,Thrill of the Arts,Vulfpeck,10/9/2015,181259,62,0.839,0.478,0.839,0.585,0.00281,0.0435,-7.738,0.153,89.821,4
18,Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,4/17/1990,251573,70,0.848,0.173,0.848,0.666,0.000699,0.129,-6.547,0.274,96.662,4
19,Aquemini,Aquemini,Outkast,9/29/1998,319240,56,0.707,0.245,0.707,0.661,0,0.176,-5.711,0.39,89.197,4
20,Happy Hour Hero,tin cans & car tires,moe.,9/8/1998,300440,40,0.48,0.353,0.48,0.785,0.00085,0.166,-7.528,0.0423,146.663,4
21,In the Kitchen,Anchor Drops,Umphrey's McGee,6/29/2004,239453,42,0.688,0.203,0.688,0.698,0.000265,0.124,-7.299,0.0376,112.145,4
22,DLZ,Dear Science,TV On The Radio,1/1/2008,228706,48,0.51,0.0298,0.51,0.872,0.00159,0.106,-3.985,0.0414,175.994,4
23,Foots,Stuff,Stuff,1976,242026,33,0.637,0.161,0.637,0.627,0.572,0.0703,-13.506,0.0418,103.673,4
24,Paranoid Android,OK Computer,Radiohead,5/28/1997,387213,66,0.251,0.0377,0.251,0.848,0.00591,0.0545,-6.501,0.0579,163.709,4
25,Unicorn,Free Ride,Dizzy Gillespie,1/1/1977,408706,46,0.845,0.118,0.845,0.519,0.507,0.0716,-11.498,0.0685,102.71,4
26,Fett's Vette,Fett's Vette,MC Chris,1/1/2001,204875,43,0.882,0.172,0.882,0.638,0,0.128,-7.668,0.291,114.973,4
27,Do Leme Ao Pontal,World Psychedelic Classics 4: Nobody Can Live Forever: The Existential Soul of Tim Maia,Tim Maia,10/2/2012,192226,34,0.784,0.57,0.784,0.606,0.000388,0.176,-9.944,0.0549,98.197,4
28,Ocean Man,The Mollusk,Ween,4/18/1997,126946,64,0.72,0.551,0.72,0.912,0.00122,0.0982,-6.13,0.0363,122.782,4
29,Everybody's Free (To Wear Sunscreen),Everybody's Free (To Wear Sunscreen),Baz Luhrmann,1/1/1999,309133,49,0.827,0.639,0.827,0.526,8.20E-06,0.391,-13.365,0.363,91.552,4
30,Girls Poop Too,Ladies Don't Spit,Reformed Whores,10/23/2012,133973,4,0.715,0.547,0.715,0.802,0,0.11,-8.477,0.214,114.888,4
31,"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Toy Story,Randy Newman,1/1/1995,124160,68,0.689,0.817,0.689,0.333,5.13E-06,0.285,-12.134,0.0307,115.835,4
32,Puppet String,Similar Skin,Umphrey's McGee,6/10/2014,389610,32,0.603,0.0125,0.603,0.652,0.00226,0.0458,-8.758,0.0397,97.019,4
33,T.I.B.W.F.,The Budos Band,The Budos Band,11/29/2005,160600,51,0.674,0.0124,0.674,0.607,0.87,0.147,-7.76,0.057,77.845,4
34,Midnight in Harlem,Revelator,Tedeschi Trucks Band,6/3/2011,352666,56,0.447,0.35,0.447,0.557,0.0145,0.11,-9.92,0.035,152.058,4
35,Where Is My Mind?,Death to the Pixies,Pixies,10/6/1997,229226,59,0.513,0.00731,0.513,0.442,0.000838,0.0878,-13.529,0.0343,81.201,4
36,Electric Pow Wow Drum,A Tribe Called Red,The Halluci Nation,3/12/2013,219853,50,0.658,0.023,0.658,0.573,0.0613,0.0981,-5.408,0.107,133.442,4
37,"Me, On The Beach",Dream Sounds,Nagisa Ni Te,3/1/2005,405693,19,0.605,0.438,0.605,0.237,0.0185,0.0659,-14.005,0.0404,92.189,4
38,A Ballet,Domesticated,Sébastien Tellier,5/29/2020,286353,44,0.542,0.08,0.542,0.329,0.0835,0.0971,-12.462,0.0359,115.077,4
39,Toast,Rapture EP,Koffee,3/14/2019,191502,69,0.906,0.0342,0.906,0.638,1.70E-05,0.0725,-7.917,0.256,99.959,4
40,Baby Got Back,Tuxicity,Richard Cheese,2002,167133,31,0.667,0.0814,0.667,0.522,0.000252,0.0772,-8.701,0.0314,134.898,4
41,Smells Like Drill Spirt - remix,Smells Like Drill Spirt (remix),Afroludi,1/12/2021,130142,61,0.688,0.0298,0.688,0.484,0.000649,0.134,-8.094,0.0339,140.052,4
42,The Spy Hunter,Songs To Burn Bridges By,Project 86,1/1/2004,217756,31,0.468,0.000214,0.468,0.96,0.287,0.227,-4.012,0.0857,90.956,4
43,Your Hand In Mine,The Earth Is Not a Cold Dead Place,Explosions In The Sky,11/4/2003,496573,53,0.279,0.103,0.279,0.472,0.874,0.063,-16.42,0.0295,115.13,3
